file_name,file_upload_date,db_content_type,exiftool_mime_type,type_mismatch,type_major_mismatch,media_file,media_entry,file_store_path
IMG_4308.psd,2013-04-04T21:53:35.459Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/d6526b48-2e53-40e1-940c-a5a3c75b4276,https://medienarchiv.zhdk.ch/entries/841d0489-726a-424c-96f0-ddb10846fea2,7/73c8674adfaa401ca9f59742baa7b3cd
1zu60.psd,2013-04-05T09:14:10.923Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/f4adee20-51cb-4463-92f4-7b143626b288,https://medienarchiv.zhdk.ch/entries/91d2a0dd-beed-4e6c-b511-db54daec5929,8/87ce2013390848cc9cb3fb91b7bad742
1_zu_60_mont.psd,2013-04-05T09:15:11.931Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/5b9836a7-e316-4429-a730-3c340bf532d4,https://medienarchiv.zhdk.ch/entries/19db5e05-64b4-466c-a0b6-c525ef226b4d,8/8fffbfeac9254e42af872bf168719002
21_lavaterzimmer_selbstbeschreibung_ab.psd,2013-04-08T07:18:46.100Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/61acdfa5-5c9f-4194-9d9e-dc6dd9c7351e,https://medienarchiv.zhdk.ch/entries/63f66f25-598c-4351-a311-8631c2d83196,5/52e469481d594b7b9f6d2154b7bec756
logo Kopie 1.psd,2013-04-08T08:05:59.265Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/dde8dc6e-5246-418b-b59e-a04755c0ff9b,https://medienarchiv.zhdk.ch/entries/7973e521-3b15-42ac-82c0-98757f12232c,c/c7243084fa8b4548a0a01d73b050ce54
7.psd,2013-04-12T09:00:40.393Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/0fe9ced0-0fc1-4d32-93b8-b14b93cbfe1a,https://medienarchiv.zhdk.ch/entries/2a756ec2-195a-491b-b3c6-33c48963bc71,e/ea517f3645c340a383f37ce497360ea5
8.psd,2013-04-12T09:01:13.392Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/2173e9c0-6eb8-4421-a307-799a874ae04a,https://medienarchiv.zhdk.ch/entries/a1abcd40-680d-4fd6-ad3b-029010668a7e,5/53a7038b3ffe4dcd9ae69da63e4f00f3
10.psd,2013-04-12T09:02:15.590Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/60f91cff-0bf5-43f3-8fd3-8210fa45a83d,https://medienarchiv.zhdk.ch/entries/7ce1dbaa-e92c-4efc-89f2-fc57353eb822,a/a42c8f72b5344016acc70c7fd5f6e3e9
1.psd,2013-04-12T09:03:48.520Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/4e3b0f79-8c07-4919-893b-deceba99b578,https://medienarchiv.zhdk.ch/entries/25dd04f1-fe6f-4807-8ae7-f2e6cc33b365,7/7a96606ad04a489ca6cb21ab35e68d22
4.psd,2013-04-12T09:04:59.965Z,image/vnd.adobe.photoshop,application/vnd.adobe.photoshop,true,true,https://medienarchiv.zhdk.ch/admin/media_files/fd50455f-b5ea-4951-bc7c-01d850e018d8,https://medienarchiv.zhdk.ch/entries/a8151738-4bf4-4452-9a64-df16a7cc2156,f/f17f8a154dda44a59a8d8fc8635fe859
